[2396, 13389]
[1980, 13398]
[692, 13413]
[220, 13423]
[24, 13445]
[1620, 13446]
[4520, 13449]
[9668, 13462]
[1036, 13480]
[4716, 13492]
[4520, 13521]
[2624, 13526]
[780, 13528]
[228, 13556]
[2004, 13575]
[1344, 13593]
[2372, 13606]
[1200, 13630]
[1240, 13640]
[588, 13669]
[744, 13685]
[1196, 13715]
[4864, 13745]
[7532, 13754]
[3016, 13781]
[1692, 13794]
[1628, 13803]
[1412, 13820]
[4736, 13834]
[4320, 13852]
[1284, 13855]
[280, 13872]
[3080, 13901]
[524, 13903]
[1976, 13931]
[2380, 13955]
[800, 13968]
[1400, 13997]
[2944, 14017]
[3284, 14039]
[6692, 14049]
[7516, 14063]
[11836, 14069]
[12328, 14070]
[14396, 14095]
[7852, 14103]
[5200, 14112]
[3640, 14132]
[1520, 14162]
[2464, 14182]
[6756, 14209]
[4520, 14216]
[1948, 14236]
[7900, 14243]
[8240, 14254]
[4876, 14278]
[3820, 14283]
[2104, 14286]
[3112, 14297]
[5120, 14299]
[912, 14329]
[92, 14337]
[2388, 14338]
[5324, 14367]
[860, 14392]
[912, 14418]
[2560, 14438]
[3740, 14463]
[6304, 14491]
[3148, 14497]
[4868, 14503]
[2332, 14531]
[2184, 14549]
[2428, 14551]
[3676, 14568]
[3948, 14577]
[6304, 14599]
[348, 14619]
[876, 14624]
[924, 14650]
[2296, 14672]
[1732, 14695]
[1268, 14713]
[416, 14718]
[428, 14729]
[1264, 14750]
[1344, 14752]
[8240, 14771]
[6972, 14796]
[2596, 14810]
[1364, 14838]
[6772, 14863]
[5740, 14876]
[4556, 14877]
[2348, 14897]
[2932, 14906]
[420, 14933]
[2428, 14936]
[4836, 14963]
[4364, 14976]
[3380, 14981]
[2556, 14991]
[1004, 15009]
[592, 15019]
[3620, 15041]
[1948, 15069]
[748, 15085]
[772, 15093]
[2296, 15107]
[6772, 15135]
[6304, 15150]
[2932, 15162]
[128, 15176]
[484, 15194]
[4364, 15197]
[5172, 15224]
[3320, 15244]
[8312, 15272]
[7116, 15275]
[608, 15285]
[1204, 15289]
[1004, 15317]
[2656, 15342]
[3556, 15371]
[3856, 15373]
[6648, 15384]
[4968, 15404]
[3724, 15411]
[716, 15430]
[9796, 15449]
[6772, 15462]
[1948, 15466]
[288, 15477]
[272, 15493]
[4320, 15523]
[1284, 15526]
[3112, 15536]
[4160, 15564]
[912, 15581]
[8196, 15590]
[2448, 15613]
[3112, 15626]
[1284, 15647]
[1196, 15655]
[1436, 15681]
[896, 15706]
